seed,subset,group,direction,stage,epoch,delta,ci_lo,ci_hi,median_cs,median_noswitch,mean_delta,n
s42,all,seen_embedded,pooled,stage1,0,0.0,0.0,0.0,0.6126699500554939,0.6126699500554939,0.0,1102
s42,all,seen_embedded,pooled,stage1,1,0.1105061555908094,0.0710816807163428,0.1430801713374029,0.7546780781949037,0.6441719226040943,0.0624070895266732,1102
s42,all,seen_embedded,pooled,stage1,5,0.1012254425209103,0.0777800204678815,0.1317952162612072,0.8867924528301887,0.7855670103092783,0.0795577473860102,1102
s42,all,seen_embedded,pooled,stage1,10,0.1096698113207548,0.0873564999386894,0.1329005105161669,0.9056603773584906,0.7959905660377358,0.0864334464094025,1102
s42,all,seen_embedded,pooled,stage2,1,0.1052832094808097,0.082122937054115,0.1277540098466293,0.9124585760863756,0.8071753666055658,0.0899528478858454,1102
s42,all,seen_embedded,pooled,stage2,5,0.1090417713399968,0.092968393798628,0.1357999332813372,0.9410377358490566,0.8319959645090598,0.0999672074983072,1102
s42,all,seen_embedded,pooled,stage2,10,0.1069477422245096,0.084073517286504,0.1293828380407389,0.9419263456090652,0.8349786033845555,0.0977852889550766,1102
s42,all,seen_embedded,pooled,stage3,1,0.1147457060421202,0.0880621014501133,0.1349252718886474,0.934020618556701,0.8192749125145808,0.1027963922716524,1102
s42,all,seen_embedded,pooled,stage3,5,0.0936640768205299,0.0755514410132554,0.1155947937503955,0.9448529411764706,0.8511888643559407,0.0996906472004899,1102
s42,all,seen_embedded,pooled,stage3,10,0.0898807549370702,0.0730056868885336,0.1138862297518023,0.9393382352941176,0.8494574803570474,0.0978138934454235,1102
s42,all,seen_embedded,eng-nld,stage1,0,0.0,0.0,0.0,0.7209631728045326,0.7209631728045326,0.0,359
s42,all,seen_embedded,eng-nld,stage1,1,0.0538243626062323,0.0084985835694051,0.1288951841359773,0.8498583569405099,0.7960339943342776,0.0503957325589652,359
s42,all,seen_embedded,eng-nld,stage1,5,0.0212464589235127,0.0042492917847025,0.0396600566572238,0.9589235127478754,0.9376770538243626,0.0291650555919417,359
s42,all,seen_embedded,eng-nld,stage1,10,0.0141643059490085,0.0,0.0325779036827195,0.9674220963172804,0.953257790368272,0.035900005523685,359
s42,all,seen_embedded,eng-nld,stage2,1,0.0127478753541077,-0.0014164305949008,0.0269121813031161,0.9674220963172804,0.9546742209631728,0.0342152816684683,359
s42,all,seen_embedded,eng-nld,stage2,5,0.0155807365439093,0.0014164305949008,0.0297450424929178,0.9844192634560908,0.9688385269121812,0.0397271299723026,359
s42,all,seen_embedded,eng-nld,stage2,10,0.008498583569405,-0.0014164305949008,0.0241147308781868,0.9815864022662888,0.973087818696884,0.0322307006399583,359
s42,all,seen_embedded,eng-nld,stage3,1,0.0127478753541075,0.0014164305949008,0.0226628895184135,0.9815864022662888,0.9688385269121812,0.0376320752483684,359
s42,all,seen_embedded,eng-nld,stage3,5,0.0099150141643059,0.0014164305949008,0.0184135977337109,0.9915014164305948,0.9815864022662888,0.0352687272641188,359
s42,all,seen_embedded,eng-nld,stage3,10,0.0084985835694051,0.0014164305949008,0.0155807365439093,0.990084985835694,0.9815864022662888,0.0268529989662819,359
s42,all,seen_embedded,eng-zho,stage1,0,0.0,0.0,0.0,0.554245283018868,0.554245283018868,0.0,219
s42,all,seen_embedded,eng-zho,stage1,1,0.1226415094339622,0.025943396226415,0.1816037735849056,0.6509433962264151,0.5283018867924528,0.0845933488412163,219
s42,all,seen_embedded,eng-zho,stage1,5,0.186320754716981,0.1272995283018867,0.2688679245283019,0.7665094339622641,0.5801886792452831,0.1525049539071251,219
s42,all,seen_embedded,eng-zho,stage1,10,0.186320754716981,0.1367924528301887,0.273643867924528,0.7665094339622641,0.5801886792452831,0.1555742224519687,219
s42,all,seen_embedded,eng-zho,stage2,1,0.1886792452830188,0.0990566037735849,0.2900943396226414,0.7830188679245282,0.5943396226415094,0.1502541569742393,219
