model,group,seed,layer,pair,retrieval_p1,retrieval_p1_nn,cos_gap,cka,centroid_dist,median_pct_rank,mean_pct_rank,mrr,retrieval_p5,median_rank
word,switched,42,0,eng-nld,0.4112337011033099,0.2211634904714142,0.073882520198822,0.6539612412452698,0.5566210150718689,0.997991967871486,0.9542996459257288,0.4910767279119395,0.5767301905717152,3.0
word,switched,42,0,eng-zho,0.0441323971915747,0.0235707121364092,0.0387631952762603,0.5164987444877625,0.9333837032318116,0.8865461847389559,0.8101301897660854,0.0827634660315885,0.1023069207622868,114.0
word,switched,42,0,nld-zho,0.0456369107321965,0.0235707121364092,0.0377349555492401,0.5000454783439636,0.9535934925079346,0.8634538152610441,0.7852664418959691,0.0807952066610485,0.0987963891675025,137.0
word,switched,42,1,eng-nld,0.7668004012036108,0.5260782347041123,0.083220362663269,0.6657410264015198,0.3766384124755859,1.0,0.994423028120506,0.8244539282310469,0.8901705115346038,1.0
word,switched,42,1,eng-zho,0.2647943831494483,0.1208625877632898,0.0526159405708313,0.5590965151786804,0.5036571025848389,0.9949799196787148,0.9643387995311234,0.3706104591909908,0.4794383149448345,6.0
word,switched,42,1,nld-zho,0.1925777331995988,0.0907723169508525,0.0479422211647033,0.5461305975914001,0.5194559097290039,0.9899598393574296,0.9514054210825246,0.2943297043079447,0.3956870611835506,11.0
word,switched,42,2,eng-nld,0.7482447342026078,0.4954864593781344,0.0501572489738464,0.7132593393325806,0.2858294546604156,1.0,0.9939723789843424,0.8077120674156862,0.8791374122367102,1.0
word,switched,42,2,eng-zho,0.2743229689067201,0.1103309929789368,0.0358774065971374,0.6152607798576355,0.3781946003437042,0.9959839357429718,0.97054819075701,0.3846726052651182,0.504012036108325,5.0
word,switched,42,2,nld-zho,0.1995987963891675,0.0872617853560682,0.0324423313140869,0.603215217590332,0.3893280327320099,0.9909638554216867,0.9565352684559704,0.3018923061455686,0.4022066198595787,10.0
word,switched,42,3,eng-nld,0.804914744232698,0.6409227683049148,0.0762852430343627,0.6559513211250305,0.2996147572994232,1.0,0.9964512009925358,0.8571766401044729,0.9187562688064193,1.0
word,switched,42,3,eng-zho,0.3385155466399198,0.2046138415245737,0.0517773628234863,0.566193699836731,0.3954237103462219,0.997991967871486,0.9770269644274188,0.4529912943974655,0.5772316950852557,3.0
word,switched,42,3,nld-zho,0.2487462387161484,0.1384152457372116,0.0466567873954772,0.5491212606430054,0.4091793596744537,0.993975903614458,0.966102121625922,0.352704228196268,0.4578736208625877,7.0
word,switched,42,4,eng-nld,0.8706118355065195,0.7507522567703109,0.0982802510261535,0.6650766730308533,0.3302522897720337,1.0,0.998276455873645,0.907318568962292,0.954864593781344,1.0
word,switched,42,4,eng-zho,0.4418254764292878,0.2908726178535606,0.0677581429481506,0.5824621915817261,0.4183748960494995,0.998995983935743,0.9878823216637866,0.5589483491879492,0.6965897693079238,2.0
word,switched,42,4,nld-zho,0.3430290872617854,0.2236710130391173,0.0618149042129516,0.5556331276893616,0.4243987500667572,0.997991967871486,0.9789695391395068,0.4568225550269437,0.5787362086258776,3.0
word,switched,42,5,eng-nld,0.899197592778335,0.7923771313941825,0.1060401797294616,0.6912634968757629,0.3397330045700073,1.0,0.9990397900528896,0.9300377133815836,0.9674022066198597,1.0
word,switched,42,5,eng-zho,0.5325977933801405,0.3304914744232698,0.0726748704910278,0.608292818069458,0.4289997220039367,1.0,0.9933228400059616,0.6444583622622629,0.7803410230692076,1.0
word,switched,42,5,nld-zho,0.4037111334002006,0.2437311935807422,0.065178632736206,0.5777403712272644,0.4389373660087585,0.998995983935743,0.986694017796361,0.5291834198364975,0.6765295887662989,2.0
word,switched,42,6,eng-nld,0.901705115346038,0.7903711133400201,0.1165550947189331,0.6914447546005249,0.3554788827896118,1.0,0.9993126971275272,0.9321226229359444,0.9719157472417252,1.0
