model,group,seed,layer,pair,retrieval_p1,retrieval_p1_nn,cos_gap,cka,centroid_dist,median_pct_rank,mean_pct_rank,mrr,retrieval_p5,median_rank
curriculum,switched,42,0,eng-nld,0.4669007021063189,0.2472417251755266,0.0809816122055053,0.6422860026359558,0.5562747120857239,0.998995983935743,0.964611706605761,0.5464371195333675,0.6318956870611836,2.0
curriculum,switched,42,0,eng-zho,0.0501504513540621,0.0270812437311935,0.0438944399356842,0.5101057291030884,0.9477581977844238,0.9176706827309236,0.8456191868779028,0.0968125220491116,0.1233701103309929,83.0
curriculum,switched,42,0,nld-zho,0.059679037111334,0.0265797392176529,0.04258394241333,0.494284838438034,0.957857608795166,0.9051204819277108,0.82920145980109,0.1003559299627151,0.125877632898696,95.5
curriculum,switched,42,1,eng-nld,0.7928786359077231,0.6088264794383149,0.0956146121025085,0.6494727730751038,0.363373190164566,1.0,0.9964728522918151,0.8450021087460838,0.9082246740220662,1.0
curriculum,switched,42,1,eng-zho,0.3676028084252758,0.2056168505516549,0.0643225312232971,0.5550179481506348,0.4631123840808868,0.997991967871486,0.9763789360048016,0.4802669919675674,0.60481444332999,3.0
curriculum,switched,42,1,nld-zho,0.29839518555667,0.1700100300902708,0.059425413608551,0.5469115972518921,0.4744179844856262,0.9959839357429718,0.9689263573854092,0.4061430294161339,0.5135406218655968,5.0
curriculum,switched,42,2,eng-nld,0.7828485456369108,0.5747241725175527,0.0587510466575622,0.7026404738426208,0.2849299311637878,1.0,0.9957880670122818,0.8332115151583083,0.8916750250752257,1.0
curriculum,switched,42,2,eng-zho,0.3671013039117352,0.1805416248746238,0.0438434481620788,0.6144070625305176,0.3667808473110199,0.997991967871486,0.9815948850567768,0.4816166754528753,0.6138415245737212,3.0
curriculum,switched,42,2,nld-zho,0.2903711133400201,0.1594784353059177,0.0400020480155944,0.6066708564758301,0.3693692088127136,0.9959839357429718,0.9686635206825296,0.4011888461414161,0.5215646940822467,5.0
curriculum,switched,42,3,eng-nld,0.8149448345035105,0.6619859578736209,0.0832583308219909,0.6603643894195557,0.3057177066802978,1.0,0.9974698190958418,0.8648229324676283,0.925777331995988,1.0
curriculum,switched,42,3,eng-zho,0.4272818455366098,0.279839518555667,0.0603691935539245,0.5742669701576233,0.3877011835575104,0.998995983935743,0.985675903211643,0.5367687854361494,0.6619859578736209,2.0
curriculum,switched,42,3,nld-zho,0.3304914744232698,0.2116349047141424,0.0556606650352478,0.5561925172805786,0.387098103761673,0.9969879518072288,0.9757782383294462,0.446647655498783,0.5737211634904714,4.0
curriculum,switched,42,4,eng-nld,0.8946840521564694,0.7743229689067201,0.1048133373260498,0.6702229380607605,0.3427729606628418,1.0,0.9989043435527466,0.9247801147360268,0.9593781344032096,1.0
