model,group,seed,layer,pair,retrieval_p1,retrieval_p1_nn,cos_gap,cka,centroid_dist,median_pct_rank,mean_pct_rank,mrr,retrieval_p5,median_rank
cur_cs-s42-s1e0,switched,42,0,eng-nld,0.4202607823470411,0.3259779338014042,0.0096165537834167,0.5989255309104919,0.0765216201543808,0.9969879518072288,0.9316131124296584,0.4760273375833881,0.5275827482447342,4.0
cur_cs-s42-s1e0,switched,42,0,eng-zho,0.0536609829488465,0.0436308926780341,0.0046369433403015,0.4890519380569458,0.1127645596861839,0.8383534136546185,0.7656428119700468,0.0815749449837132,0.0932798395185556,162.0
cur_cs-s42-s1e0,switched,42,0,nld-zho,0.0501504513540621,0.0346038114343029,0.0043281912803649,0.4676516056060791,0.1116493791341781,0.821285140562249,0.7519929265708774,0.0752887625656186,0.0837512537612838,179.0
cur_cs-s42-s1e0,switched,42,1,eng-nld,0.2507522567703109,0.1850551654964894,0.0106946229934692,0.3082883358001709,0.0724584907293319,0.958835341365462,0.8347562768627167,0.2990419544703693,0.3385155466399198,42.0
cur_cs-s42-s1e0,switched,42,1,eng-zho,0.0411233701103309,0.0285857572718154,0.003738522529602,0.2753472030162811,0.0943339094519615,0.7168674698795181,0.6551753654537911,0.0598438440042607,0.0641925777331996,283.0
cur_cs-s42-s1e0,switched,42,1,nld-zho,0.0305917753259779,0.0190571715145436,0.0034995079040527,0.2619558572769165,0.0973578318953514,0.6897590361445782,0.6429318074706046,0.0487780885434408,0.0531594784353059,310.0
cur_cs-s42-s1e0,switched,42,2,eng-nld,0.1900702106318956,0.1514543630892678,0.0113162398338317,0.2189271748065948,0.0715455710887909,0.9016064257028112,0.7783621950187913,0.2280772823088271,0.2597793380140421,99.0
cur_cs-s42-s1e0,switched,42,2,eng-zho,0.0255767301905717,0.0180541624874623,0.0036852955818176,0.2032435089349746,0.0940684899687767,0.661144578313253,0.6166149049558314,0.0423453817807307,0.0496489468405215,338.5
cur_cs-s42-s1e0,switched,42,2,nld-zho,0.0200601805416248,0.0140421263791374,0.0031178593635559,0.1763636916875839,0.0933460965752601,0.6586345381526104,0.6081799615714613,0.0357877697629437,0.0416248746238716,341.0
cur_cs-s42-s1e0,switched,42,3,eng-nld,0.1634904714142427,0.1328986960882648,0.0121896266937255,0.1894961297512054,0.0751586779952049,0.8755020080321285,0.7517628185762105,0.1990259574581066,0.2226680040120361,125.0
cur_cs-s42-s1e0,switched,42,3,eng-zho,0.0210631895687061,0.0160481444332999,0.0032384991645812,0.1747443526983261,0.0957032814621925,0.642570281124498,0.6000803615666276,0.0365182083451667,0.0406218655967903,357.0
cur_cs-s42-s1e0,switched,42,3,nld-zho,0.0165496489468405,0.0115346038114343,0.0032280683517456,0.1501542627811432,0.0920433700084686,0.6300200803212852,0.5908851051145404,0.0305357910036881,0.0325977933801404,369.5
cur_cs-s42-s1e0,switched,42,4,eng-nld,0.1449348044132397,0.1263791374122367,0.0127161741256713,0.1704183518886566,0.0746399164199829,0.858433734939759,0.7316930711814157,0.1788203728009232,0.2066198595787362,142.0
cur_cs-s42-s1e0,switched,42,4,eng-zho,0.018555667001003,0.0135406218655967,0.0034281611442565,0.1501193046569824,0.0956811159849166,0.6204819277108433,0.5839007987818878,0.0326608174846915,0.0346038114343029,379.0
cur_cs-s42-s1e0,switched,42,4,nld-zho,0.0165496489468405,0.0090270812437311,0.0022806525230407,0.1306112855672836,0.0922020152211189,0.6014056224899598,0.5773656310296351,0.028216752316507,0.0285857572718154,398.0
cur_cs-s42-s1e0,switched,42,5,eng-nld,0.1399197592778335,0.1223671013039117,0.0127431154251098,0.1587522774934768,0.0749629810452461,0.8318273092369478,0.7164475353772161,0.1680053130278895,0.1885656970912738,168.5
cur_cs-s42-s1e0,switched,42,5,eng-zho,0.0150451354062186,0.0120361083249749,0.0031116604804992,0.1415010243654251,0.0943701788783073,0.6119477911646587,0.5779492090730022,0.0290898512140798,0.0310932798395185,387.5
cur_cs-s42-s1e0,switched,42,5,nld-zho,0.0150451354062186,0.0085255767301905,0.002871811389923,0.1156498864293098,0.0924679413437843,0.5953815261044177,0.5677413767406638,0.0257326241580545,0.0260782347041123,404.0
cur_cs-s42-s1e0,switched,42,6,eng-nld,0.1359077231695085,0.1168505516549649,0.0128650069236755,0.1524683535099029,0.0786123275756836,0.8132530120481928,0.7065936766121658,0.1617841562168718,0.1725175526579739,187.0
cur_cs-s42-s1e0,switched,42,6,eng-zho,0.014543630892678,0.0110330992978936,0.0031877756118774,0.1342453956604004,0.0958092585206031,0.5988955823293173,0.5728722311512852,0.0284442263472852,0.0300902708124373,400.5
cur_cs-s42-s1e0,switched,42,6,nld-zho,0.0115346038114343,0.0085255767301905,0.0026413202285766,0.1102519705891609,0.0926279202103614,0.5873493975903614,0.5647957930014944,0.0222595735705161,0.0210631895687061,412.0
cur_cs-s42-s1e0,switched,42,7,eng-nld,0.133901705115346,0.1203610832497492,0.0139245986938476,0.1479009389877319,0.0801426917314529,0.804718875502008,0.7024059125166664,0.1591186340348204,0.1715145436308927,195.5
cur_cs-s42-s1e0,switched,42,7,eng-zho,0.0140421263791374,0.0120361083249749,0.0031924843788146,0.1298645138740539,0.097619317471981,0.6004016064257028,0.5727085876102203,0.0272204450067188,0.0270812437311935,399.0
cur_cs-s42-s1e0,switched,42,7,nld-zho,0.0090270812437311,0.0075225677031093,0.0026040077209472,0.1061393022537231,0.0920451059937477,0.5833333333333333,0.5608824465363963,0.0198493129513925,0.0190571715145436,416.0
cur_cs-s42-s1e0,switched,42,8,eng-nld,0.1313941825476429,0.1173520561685055,0.0135441422462463,0.1423456817865371,0.0799108147621154,0.8012048192771084,0.6967544198861646,0.1564079932751444,0.1685055165496489,199.0
cur_cs-s42-s1e0,switched,42,8,eng-zho,0.0140421263791374,0.0110330992978936,0.0029047131538391,0.1245976462960243,0.0966756790876388,0.5873493975903614,0.5670873060949918,0.0261397105885448,0.0265797392176529,412.0
cur_cs-s42-s1e0,switched,42,8,nld-zho,0.0095285857572718,0.0060180541624874,0.0023872256278991,0.1023678332567215,0.0884193927049636,0.5758032128514057,0.5573507671609205,0.0201214315667859,0.0195586760280842,423.5
cur_cs-s42-s1e0,switched,42,9,eng-nld,0.1313941825476429,0.115346038114343,0.0128837823867797,0.1385876089334488,0.0814544335007667,0.7831325301204819,0.6876578530773042,0.1540050910385792,0.1624874623871615,217.0
cur_cs-s42-s1e0,switched,42,9,eng-zho,0.0125376128385155,0.0110330992978936,0.0025630593299865,0.1213880702853202,0.0973418578505516,0.5818273092369478,0.5655082718033618,0.0245221917105777,0.0260782347041123,417.5
cur_cs-s42-s1e0,switched,42,9,nld-zho,0.010531594784353,0.0075225677031093,0.0022323727607727,0.0970601961016655,0.0887166410684585,0.571285140562249,0.5546836292008557,0.0208598557076654,0.0190571715145436,428.0
cur_cs-s42-s1e0,switched,42,10,eng-nld,0.1248746238716148,0.1103309929789368,0.0138410329818725,0.1382410675287246,0.0834788903594017,0.7776104417670683,0.6842505427930378,0.1482255452197333,0.1599799398194583,222.5
cur_cs-s42-s1e0,switched,42,10,eng-zho,0.0120361083249749,0.010531594784353,0.0028112530708312,0.1172523200511932,0.0985145419836044,0.5793172690763052,0.5627565427205311,0.0234329927108155,0.0240722166499498,420.0
cur_cs-s42-s1e0,switched,42,10,nld-zho,0.0095285857572718,0.0070210631895687,0.0028067231178283,0.0950572118163108,0.0897362753748893,0.5717871485943775,0.5538744748301128,0.0197765702834902,0.0190571715145436,427.5
cur_cs-s42-s1e0,switched,42,11,eng-nld,0.1248746238716148,0.1093279839518555,0.013925015926361,0.1356424987316131,0.0839007347822189,0.7670682730923695,0.6806080893282257,0.1470640374018553,0.1579739217652959,233.0
cur_cs-s42-s1e0,switched,42,11,eng-zho,0.0115346038114343,0.0100300902708124,0.0031673312187194,0.1150792688131332,0.0994714573025703,0.5868473895582329,0.5637781819353643,0.0223172084873043,0.0225677031093279,412.5
cur_cs-s42-s1e0,switched,42,11,nld-zho,0.0100300902708124,0.0070210631895687,0.0025792121887207,0.0915113687515258,0.089815080165863,0.5742971887550201,0.5556413215550264,0.0194225914389982,0.0160481444332999,425.0
cur_cs-s42-s1e0,switched,42,12,eng-nld,0.1233701103309929,0.107321965897693,0.0146055817604064,0.1327583044767379,0.0856588333845138,0.7640562248995983,0.6771489166294062,0.1447758034640393,0.1539618856569709,236.0
cur_cs-s42-s1e0,switched,42,12,eng-zho,0.0110330992978936,0.0095285857572718,0.0035789608955383,0.1122635304927825,0.0997382923960685,0.5818273092369478,0.5622273446846563,0.02169932291815,0.0230692076228686,417.5
cur_cs-s42-s1e0,switched,42,12,nld-zho,0.0090270812437311,0.006519558676028,0.0026008486747741,0.0901267081499099,0.0912088379263877,0.571285140562249,0.5537798133355891,0.0186720606602459,0.0170511534603811,428.0
cur_cs-s42-s1e1,switched,42,0,eng-nld,0.2933801404212638,0.1534603811434303,0.0233279466629028,0.5461967587471008,0.3386559188365936,0.9899598393574296,0.9021310920713947,0.3616931432401954,0.4212637913741223,11.0
cur_cs-s42-s1e1,switched,42,0,eng-zho,0.0275827482447342,0.0130391173520561,0.0093932151794433,0.3977994620800018,0.5850202441215515,0.7459839357429718,0.683207755797513,0.0468376203465089,0.051654964894684,254.0
cur_cs-s42-s1e1,switched,42,0,nld-zho,0.0235707121364092,0.0070210631895687,0.0085434317588806,0.3757822811603546,0.594589352607727,0.7228915662650602,0.6686671460163623,0.0456336641221889,0.0531594784353059,277.0
cur_cs-s42-s1e1,switched,42,1,eng-nld,0.2166499498495486,0.1218655967903711,0.046879768371582,0.4732542634010315,0.4499586522579193,0.981425702811245,0.9023209185790304,0.287256960608316,0.3510531594784353,19.5
cur_cs-s42-s1e1,switched,42,1,eng-zho,0.0325977933801404,0.014543630892678,0.0226311087608337,0.3765974938869476,0.6361192464828491,0.8253012048192772,0.743526765034058,0.0597424961282766,0.0677031093279839,175.0
cur_cs-s42-s1e1,switched,42,1,nld-zho,0.0190571715145436,0.0100300902708124,0.0193131566047668,0.360304445028305,0.6705027222633362,0.7911646586345382,0.717278844565826,0.0438619952842914,0.0536609829488465,209.0
cur_cs-s42-s1e1,switched,42,2,eng-nld,0.2246740220661985,0.1218655967903711,0.0216169953346252,0.4984760284423828,0.2879847586154938,0.9809236947791165,0.9019825540879668,0.2966463077104063,0.3701103309929789,20.0
cur_cs-s42-s1e1,switched,42,2,eng-zho,0.0265797392176529,0.0120361083249749,0.0115558505058288,0.390955775976181,0.4466791152954101,0.8072289156626506,0.7336099664455213,0.0525062965514436,0.0591775325977933,193.0
cur_cs-s42-s1e1,switched,42,2,nld-zho,0.0180541624874623,0.0075225677031093,0.0095966458320617,0.3824429810047149,0.4673424065113067,0.7680722891566265,0.700437154838008,0.0414373776344302,0.0486459378134403,232.0
cur_cs-s42-s1e1,switched,42,3,eng-nld,0.2271815446339017,0.1188565697091273,0.0371525287628173,0.50221186876297,0.3719557821750641,0.9829317269076304,0.9095000866051972,0.300025299887147,0.3701103309929789,18.0
cur_cs-s42-s1e1,switched,42,3,eng-zho,0.0235707121364092,0.0100300902708124,0.0175535082817077,0.3935147523880005,0.5538783669471741,0.8283132530120482,0.7484753457158624,0.0542652078525496,0.0692076228686058,172.0
cur_cs-s42-s1e1,switched,42,3,nld-zho,0.0175526579739217,0.0080240722166499,0.0154409408569335,0.3813701272010803,0.5789238810539246,0.7996987951807228,0.7268542575517718,0.0415038157674352,0.0491474423269809,200.5
cur_cs-s42-s1e1,switched,42,4,eng-nld,0.1569709127382146,0.0757271815446339,0.0664760470390319,0.5318310260772705,0.566502034664154,0.9748995983935744,0.9042398279174874,0.228382566571351,0.2873620862587763,26.0
cur_cs-s42-s1e1,switched,42,4,eng-zho,0.0240722166499498,0.0095285857572718,0.03235924243927,0.4067084193229675,0.7594278454780579,0.8559236947791165,0.7772494189395496,0.0577659450019716,0.0732196589769308,144.5
cur_cs-s42-s1e1,switched,42,4,nld-zho,0.018555667001003,0.0085255767301905,0.0271157622337341,0.3941909670829773,0.7873333692550659,0.8293172690763052,0.7525316914599219,0.0420133527327054,0.0481444332998996,171.0
cur_cs-s42-s1e1,switched,42,5,eng-nld,0.1745235707121364,0.0817452357071213,0.0845755934715271,0.5584244728088379,0.6306812763214111,0.9789156626506024,0.9185588895199656,0.2498528851778009,0.3094282848545637,22.0
cur_cs-s42-s1e1,switched,42,5,eng-zho,0.0280842527582748,0.010531594784353,0.0374974608421325,0.4320639967918396,0.8623849749565125,0.8654618473895582,0.7879909809750537,0.0636873100313105,0.0827482447342026,135.0
cur_cs-s42-s1e1,switched,42,5,nld-zho,0.0190571715145436,0.006519558676028,0.0327208638191223,0.416773647069931,0.884029746055603,0.8373493975903614,0.7633699290643013,0.044001538716933,0.0501504513540621,163.0
cur_cs-s42-s1e1,switched,42,6,eng-nld,0.2096288866599799,0.0952858575727181,0.0958835482597351,0.5646073818206787,0.6390634179115295,0.9869477911646586,0.9312425227489698,0.2895455954405646,0.3681043129388164,14.0
cur_cs-s42-s1e1,switched,42,6,eng-zho,0.0325977933801404,0.0115346038114343,0.0425520837306976,0.4390957057476043,0.8954219222068787,0.8734939759036144,0.7969687173971715,0.0688294984252018,0.0872617853560682,127.0
