lang,condition,layer,n_pairs,emb_cos,ctl_cos,cohen_d_cos,p_cos,emb_l2,ctl_l2,cohen_d_l2,p_l2,seed
eng,curriculum,0,578,0.8572364,0.8638826,-0.2393607348203659,9.363078e-06,0.34400126,0.34251854,0.03484857827425,0.42395356,42
eng,curriculum,1,578,0.5283457,0.5338029,-0.1451343297958374,0.0072553945,3.3903558,3.3688734,0.0387735441327095,0.3502488,42
eng,curriculum,2,578,0.5113034,0.514528,-0.1100921854376792,0.048429903,5.0283546,5.0307393,-0.0040095928125083,0.9244207,42
eng,curriculum,3,578,0.5361551,0.53996027,-0.1305538713932037,0.015768638,5.8371534,5.839224,-0.0031048238743096,0.94175816,42
eng,curriculum,4,578,0.5440299,0.5464669,-0.0874985307455062,0.11069996,6.7884974,6.8139825,-0.0349172987043857,0.44014537,42
eng,curriculum,5,578,0.56588954,0.5673322,-0.0517289899289608,0.34742233,7.372758,7.4084196,-0.0451686270534992,0.32385242,42
eng,curriculum,6,578,0.5733824,0.5756504,-0.0784426778554916,0.15814157,7.7538977,7.788549,-0.0410852879285812,0.37690756,42
eng,curriculum,7,578,0.58219326,0.5846199,-0.0825381278991699,0.14535113,7.868451,7.8880925,-0.0229740589857101,0.61784494,42
eng,curriculum,8,578,0.58775216,0.59124124,-0.1104182600975036,0.052464407,7.8689327,7.8707533,-0.0020925095304846,0.96351963,42
eng,curriculum,9,578,0.59291613,0.5971825,-0.1202634125947952,0.038197238,7.76698,7.749902,0.0191740654408931,0.6778296,42
eng,curriculum,10,578,0.6051525,0.61036974,-0.1367881447076797,0.01947293,7.704767,7.6585174,0.0502494014799594,0.27316007,42
eng,curriculum,11,578,0.62659484,0.6327534,-0.1433046609163284,0.013177511,7.615772,7.567514,0.049050286412239,0.2812995,42
eng,curriculum,12,578,0.66547006,0.67246836,-0.1590523570775985,0.00543465,23.380085,23.288609,0.0332562997937202,0.5050295,42
nld,curriculum,0,245,0.85625315,0.85837257,-0.082596331834793,0.29931703,0.34437162,0.34596688,-0.0380549877882003,0.54272044,42
nld,curriculum,1,245,0.5185079,0.52266544,-0.1160189360380172,0.16661091,3.4170384,3.4291356,-0.0229151286184787,0.7202169,42
nld,curriculum,2,245,0.49762964,0.5008095,-0.1124990507960319,0.17381054,5.1378746,5.1700754,-0.0574597604572773,0.3791775,42
nld,curriculum,3,245,0.5194864,0.5236369,-0.1492102295160293,0.06505559,5.94303,5.9888062,-0.0742389559745788,0.2626412,42
nld,curriculum,4,245,0.52309203,0.52847517,-0.1976653039455413,0.017293733,6.924692,6.979614,-0.081013023853302,0.2533144,42
nld,curriculum,5,245,0.5458033,0.5512589,-0.1980801373720169,0.019014928,7.500414,7.569625,-0.0950557067990303,0.18653153,42
nld,curriculum,6,245,0.5576486,0.56320965,-0.1999240964651107,0.021428201,7.852074,7.939906,-0.1129162162542343,0.12513396,42
nld,curriculum,7,245,0.5668237,0.5715227,-0.1653621941804886,0.052529857,7.941986,8.035339,-0.118815504014492,0.106241144,42
nld,curriculum,8,245,0.57347685,0.5775147,-0.1362532675266266,0.116966434,7.9203844,8.017244,-0.1217516735196113,0.09954786,42
nld,curriculum,9,245,0.5792037,0.5824729,-0.1006001234054565,0.24808547,7.793738,7.892872,-0.120815023779869,0.098188244,42
nld,curriculum,10,245,0.5856917,0.5885826,-0.082916110754013,0.3494407,7.6597686,7.7538652,-0.1122464165091514,0.12280754,42
nld,curriculum,11,245,0.60406995,0.6080443,-0.1010974422097206,0.26018798,7.534454,7.614984,-0.0911107510328292,0.20450225,42
nld,curriculum,12,245,0.64292866,0.6479301,-0.1220973506569862,0.17659913,23.282495,23.524183,-0.0985644608736038,0.19183783,42
zho,curriculum,0,279,0.7683299,0.77806264,-0.3053388893604278,0.00023210986,0.48322693,0.4691668,0.2115017622709274,5.6789704e-05,42
zho,curriculum,1,279,0.4388452,0.43912166,-0.0073172319680452,0.92779154,4.7293143,4.6493907,0.1182573810219764,0.036058594,42
zho,curriculum,2,279,0.44635364,0.44779718,-0.0442178547382354,0.58996755,6.382934,6.306496,0.0989121794700622,0.10503731,42
zho,curriculum,3,279,0.4648655,0.46639046,-0.0486358515918254,0.5440911,7.3300624,7.262636,0.0751791298389434,0.22309898,42
zho,curriculum,4,279,0.47176445,0.47365856,-0.0585161224007606,0.46817762,8.388632,8.319518,0.0677370801568031,0.2948902,42
zho,curriculum,5,279,0.49094597,0.4907844,0.0047377170994877,0.9532514,9.063688,9.003294,0.0549587681889534,0.3943622,42
zho,curriculum,6,279,0.49767485,0.49721918,0.0125937825068831,0.87405616,9.469636,9.418296,0.0444129668176174,0.49079522,42
zho,curriculum,7,279,0.5116497,0.51120126,0.011939681135118,0.87882626,9.655979,9.574051,0.0709578245878219,0.25792414,42
zho,curriculum,8,279,0.5230689,0.5209705,0.0529207736253738,0.49013498,9.703731,9.614538,0.0776524543762207,0.20894723,42
zho,curriculum,9,279,0.53546524,0.5317898,0.0869649350643158,0.25178322,9.65844,9.554584,0.090858481824398,0.149379,42
zho,curriculum,10,279,0.54517806,0.540345,0.102939635515213,0.1614023,9.594594,9.4676075,0.110054075717926,0.08972812,42
zho,curriculum,11,279,0.5636191,0.5566321,0.1339133977890014,0.066817656,9.517305,9.398693,0.0976999551057815,0.14101641,42
zho,curriculum,12,279,0.6060403,0.5961364,0.1806847006082534,0.015089378,29.007896,29.033825,-0.0073877046816051,0.91228396,42
eng,curriculum,0,578,0.85311615,0.85952824,-0.2115935236215591,8.1020095e-05,0.3491014,0.34732598,0.0411274917423725,0.35330516,43
eng,curriculum,1,578,0.5211876,0.5277131,-0.1455220282077789,0.004051663,3.3558052,3.326624,0.050116091966629,0.23096313,43
eng,curriculum,2,578,0.48659644,0.48997715,-0.1005879715085029,0.0553372,5.167895,5.160418,0.0118573494255542,0.78174335,43
eng,curriculum,3,578,0.51288927,0.5142804,-0.0436564907431602,0.40748498,5.9844856,5.99583,-0.0159102492034435,0.7080888,43
eng,curriculum,4,578,0.53797245,0.53802186,-0.0015987213701009,0.97596073,6.699926,6.73218,-0.0408526696264743,0.3522933,43
eng,curriculum,5,578,0.55067575,0.54969716,0.032045304775238,0.55350673,7.491352,7.5454626,-0.0614844001829624,0.17841211,43
eng,curriculum,6,578,0.5580239,0.55656594,0.0480498224496841,0.38473782,7.9847975,8.060136,-0.0787731111049652,0.09625645,43
eng,curriculum,7,578,0.56333244,0.56403697,-0.0239936020225286,0.66505295,8.115697,8.149003,-0.0358533263206481,0.4423397,43
eng,curriculum,8,578,0.56997377,0.57166386,-0.0538412891328334,0.32888815,8.082856,8.097251,-0.015376228839159,0.73885334,43
eng,curriculum,9,578,0.579887,0.5810968,-0.0360190719366073,0.51790357,8.008887,8.0049305,0.0042590191587805,0.9260773,43
eng,curriculum,10,578,0.5918831,0.5939593,-0.0556550249457359,0.3155893,7.8665385,7.852061,0.0154222836717963,0.7321153,43
eng,curriculum,11,578,0.6159475,0.619318,-0.0811729729175567,0.14504218,7.729944,7.697417,0.0334149859845638,0.45307463,43
eng,curriculum,12,578,0.6584834,0.66188747,-0.0798441171646118,0.15330333,23.674915,23.653574,0.0078440476208925,0.8717373,43
nld,curriculum,0,245,0.85227627,0.85644925,-0.1457898914813995,0.063600294,0.34852967,0.34862646,-0.0022233228664845,0.97130233,43
nld,curriculum,1,245,0.5154481,0.52399915,-0.2029788047075271,0.011788706,3.3579361,3.3644655,-0.0115905730053782,0.85586,43
nld,curriculum,2,245,0.478993,0.48286587,-0.1194384321570396,0.14049894,5.2416296,5.272643,-0.0498013719916343,0.45044807,43
nld,curriculum,3,245,0.49951634,0.5014396,-0.058933425694704,0.46718305,6.0825896,6.1444426,-0.088127963244915,0.18983506,43
nld,curriculum,4,245,0.5177322,0.5204188,-0.0827042013406753,0.30590037,6.8156557,6.9015956,-0.1133694872260093,0.10264037,43
nld,curriculum,5,245,0.52990294,0.5316976,-0.0599583387374877,0.48824447,7.642418,7.7495146,-0.1293340325355529,0.07123208,43
nld,curriculum,6,245,0.5387252,0.539156,-0.014710895717144,0.866588,8.143055,8.278215,-0.1514673233032226,0.041125182,43
nld,curriculum,7,245,0.5467277,0.5472792,-0.0193003620952367,0.8201057,8.219311,8.355611,-0.1592687219381332,0.029275466,43
nld,curriculum,8,245,0.5498556,0.55150807,-0.055243331938982,0.52187735,8.152818,8.292994,-0.1664647161960601,0.022562284,43
nld,curriculum,9,245,0.55966586,0.56236047,-0.0871695429086685,0.316485,8.012986,8.136451,-0.1502234190702438,0.035806183,43
nld,curriculum,10,245,0.5727788,0.57660246,-0.1140320673584938,0.1956688,7.7842455,7.9014387,-0.1412766724824905,0.044542436,43
nld,curriculum,11,245,0.5922742,0.5980632,-0.1524860709905624,0.08779484,7.5942564,7.699371,-0.1210022568702697,0.08796815,43
nld,curriculum,12,245,0.6386521,0.6448023,-0.1524756699800491,0.07654821,23.352655,23.618704,-0.112410619854927,0.13723944,43
zho,curriculum,0,279,0.76820356,0.7774621,-0.2989542484283447,0.00034555822,0.4835059,0.47032362,0.1942932307720184,0.00021661445,43
zho,curriculum,1,279,0.4324503,0.43737745,-0.1200095638632774,0.14436334,4.7307515,4.6417055,0.1216101124882698,0.031094123,43
zho,curriculum,2,279,0.42802092,0.4335591,-0.1476993113756179,0.06727794,6.5634346,6.4636893,0.1172716617584228,0.05618835,43
zho,curriculum,3,279,0.45002976,0.45532402,-0.1429929584264755,0.06863675,7.4875374,7.39334,0.0953810736536979,0.12380845,43
zho,curriculum,4,279,0.47251546,0.47542685,-0.0795969143509864,0.30278096,8.313181,8.233599,0.0708436444401741,0.26825553,43
zho,curriculum,5,279,0.48544163,0.48691282,-0.0399457477033138,0.5939353,9.106684,9.0555105,0.0403381660580635,0.5419036,43
zho,curriculum,6,279,0.49045914,0.49144053,-0.0259585697203874,0.73547935,9.653224,9.62272,0.0219921320676803,0.7438664,43
zho,curriculum,7,279,0.5045883,0.50440174,0.0048472764901816,0.9497601,9.854295,9.798057,0.0420221611857414,0.5201958,43
zho,curriculum,8,279,0.5103981,0.5090611,0.0319359339773654,0.679772,9.909173,9.836936,0.0551917068660259,0.39317846,43
zho,curriculum,9,279,0.5224543,0.51898426,0.0768888592720031,0.3101538,9.860693,9.775347,0.0668603330850601,0.28894833,43
zho,curriculum,10,279,0.53442013,0.53021264,0.0851915776729583,0.26356232,9.728176,9.6236105,0.0837739631533622,0.1829265,43
zho,curriculum,11,279,0.5557043,0.5505879,0.095311015844345,0.20507582,9.612531,9.497054,0.0913177579641342,0.1487623,43
zho,curriculum,12,279,0.597833,0.59194726,0.10196503251791,0.17935903,29.327337,29.244675,0.0228157434612512,0.7257072,43
eng,curriculum,0,578,0.8624574,0.8691028,-0.2310521155595779,1.4251962e-05,0.33960667,0.3374126,0.0506534576416015,0.25225163,44
eng,curriculum,1,578,0.5358735,0.54414237,-0.1665672808885574,0.00073898153,3.3323975,3.3041058,0.046111311763525,0.25984293,44
eng,curriculum,2,578,0.5066147,0.5107384,-0.1197472438216209,0.02122238,5.1448607,5.144761,0.0001568076841067,0.9969919,44
eng,curriculum,3,578,0.52950436,0.53160006,-0.0663059204816818,0.19700092,5.9538035,5.9700027,-0.0229043327271938,0.5780892,44
eng,curriculum,4,578,0.5508127,0.5514096,-0.0195117834955453,0.708456,6.671765,6.709017,-0.0474579595029354,0.26748627,44
eng,curriculum,5,578,0.5552616,0.5552947,-0.0011332752183079,0.9834746,7.624939,7.682717,-0.0700146928429603,0.13118707,44
eng,curriculum,6,578,0.56894964,0.56936646,-0.0143716158345341,0.7994358,7.9430537,7.993151,-0.0568170361220836,0.22114168,44
eng,curriculum,7,578,0.5785701,0.5789034,-0.0111901145428419,0.84515584,8.024111,8.062069,-0.0424410440027713,0.35515204,44
eng,curriculum,8,578,0.5864845,0.5876922,-0.038633681833744,0.50474596,7.9887533,8.000825,-0.013520261272788,0.76736087,44
eng,curriculum,9,578,0.59299046,0.59471065,-0.050248883664608,0.39133707,7.8836546,7.8826942,0.0010615291539579,0.9813336,44
eng,curriculum,10,578,0.603641,0.60660845,-0.0776946768164634,0.17759839,7.823047,7.801967,0.0228222999721765,0.61397725,44
